"","id","odo","dist","fuelc","idle","pause","fuelr"
"1","T042",2472,1017,89,993,1878.8,432
"2","T037",3027,861,49,738,1329.8,518
"3","T040",4538,1889,81,1845,1183.4,1142
"4","T036",4051,1782,88,2045,1396.9,820
"5","T044",3639,1597,92,1894,1628.7,816
"6","T038",6502,2562,71,950,805.2,1573
"7","T035",6655,2444,103,3250,1213.9,490
"8","T041",5755,2252,65,1417,854,1199
"9","T039",1817,782,52,2231,1750.7,306
"10","T043",5326,1706,54,438,799.1,1024
"11","T045",1753,782,98,456,2232.6,319
"12","T046",4146,1842,64,503,951.6,840
"13","T050",6255,2301,64,2447,829.6,1630
"14","T053",5133,2015,75,3147,1159,793
"15","T049",7862,2919,113,941,1262.7,2146
"16","T054",5214,1956,70,3097,1122.4,1112
"17","T048",7155,2615,55,1424,725.9,1404
"18","T051",4676,1832,48,969,689.3,969
"19","T047",3991,1504,40,2083,933.3,939
"20","T052",0,0,0,0,0,0
"21","T059",5756,2215,92,2031,1348.1,1086
"22","T060",4101,1451,77,1583,1213.9,617
"23","T058",6307,2471,55,3333,732,1266
"24","T057",6972,2781,83,786,1152.9,1666
"25","T061",5150,1721,62,380,1128.5,734
"26","T065",5672,2250,40,268,622.2,614
"27","T063",6671,2328,92,1815,1415.2,1291
"28","T062",5460,1967,80,1357,1323.7,952
"29","T066",3826,1549,71,1329,1470.1,629
"30","T064",8896,3399,92,3168,1049.2,1803
"31","T074",5235,2367,108,2614,1494.5,1146
"32","T069",3630,1471,50,237,1159,786
"33","T077",3578,1418,34,1677,811.3,638
"34","T071",6255,2313,65,1536,1030.9,1154
"35","T072",6574,2677,87,2783,1195.6,1608
"36","T076",4313,1662,93,1088,1604.3,668
"37","T068",9455,3554,61,1655,713.7,1111
"38","T086",4991,2099,90,2665,1525,1011
"39","T073",5262,1703,58,1983,1183.4,804
"40","T075",4641,2034,83,963,1335.9,1010
"41","T070",5087,2345,185,3039,2202.1,1404
"42","T091",8053,2951,109,2025,945.5,1435
"43","T088",4540,1915,45,3361,908.9,917
"44","T087",7458,2779,70,735,817.4,1321
"45","T085",7630,3137,79,1027,933.3,1316
"46","T084",6671,2555,114,3030,1378.6,959
"47","T083",8849,3384,81,3036,872.3,1993
"48","T092",4198,1679,40,2812,878.4,823
"49","T089",5026,2058,63,1104,1104.1,1247
"50","T090",7092,2671,116,1095,1287.1,1379
"51","T095",726,257,14,2548,1653.1,68
"52","T096",9225,2820,88,3706,1043.1,1169
"53","T099",6958,2372,80,1210,1207.8,707
"54","T102",6462,2096,61,937,1043.1,1005
"55","T100",0,0,0,0,0,0
"56","T097",7630,2453,60,1562,786.9,1223
"57","T098",8576,3092,101,1952,1335.9,1270
"58","T094",7535,2524,72,1260,1030.9,1158
"59","T101",5896,2094,58,2184,982.1,851
"60","T093",7694,2582,79,3199,1165.1,479
